,Date,Open,High,Low,Close,Volume,Name,YearMonth
1481,2010-01-23,128.67,128.89,125.37,125.5,0.0,IBM,2010-01
1482,2010-01-24,128.67,128.89,125.37,125.5,0.0,IBM,2010-01
1483,2010-01-25,126.33,126.9,125.71,126.12,5738920.0,IBM,2010-01
1484,2010-01-26,125.92,127.75,125.41,125.75,7136640.0,IBM,2010-01
1485,2010-01-27,125.82,126.96,125.04,126.33,8719447.0,IBM,2010-01
1486,2010-01-28,127.03,127.04,123.05,123.75,9622829.0,IBM,2010-01
1487,2010-01-29,124.32,125.0,121.9,122.39,11572387.0,IBM,2010-01
1488,2010-01-30,124.32,125.0,121.9,122.39,0.0,IBM,2010-01
1489,2010-01-31,124.32,125.0,121.9,122.39,0.0,IBM,2010-01
1490,2010-02-01,123.23,124.95,122.78,124.67,7249873.0,IBM,2010-02
1491,2010-02-02,124.79,125.81,123.95,125.53,5900187.0,IBM,2010-02
1492,2010-02-03,125.16,126.07,125.07,125.66,4177981.0,IBM,2010-02
1493,2010-02-04,125.19,125.44,122.9,123.0,9129991.0,IBM,2010-02
1494,2010-02-05,123.04,123.72,121.83,123.52,8618019.0,IBM,2010-02
1495,2010-02-06,123.04,123.72,121.83,123.52,0.0,IBM,2010-02
1496,2010-02-07,123.04,123.72,121.83,123.52,0.0,IBM,2010-02
1497,2010-02-08,123.15,123.22,121.74,121.88,5719389.0,IBM,2010-02
1498,2010-02-09,122.65,124.2,122.46,123.21,6044966.0,IBM,2010-02
1499,2010-02-10,122.94,123.65,122.21,122.81,5219260.0,IBM,2010-02
1500,2010-02-11,122.58,124.2,122.06,123.73,5091096.0,IBM,2010-02
1501,2010-02-12,123.01,124.05,121.61,124.0,8018236.0,IBM,2010-02
1502,2010-02-13,123.01,124.05,121.61,124.0,0.0,IBM,2010-02
1503,2010-02-14,123.01,124.05,121.61,124.0,0.0,IBM,2010-02
1504,2010-02-15,123.01,124.05,121.61,124.0,0.0,IBM,2010-02
1505,2010-02-16,124.91,125.23,124.11,125.23,6777265.0,IBM,2010-02
1506,2010-02-17,125.5,126.53,125.21,126.33,5827357.0,IBM,2010-02
1507,2010-02-18,126.13,128.0,126.0,127.81,5527576.0,IBM,2010-02
1508,2010-02-19,127.35,128.06,126.87,127.19,6303678.0,IBM,2010-02
1509,2010-02-20,127.35,128.06,126.87,127.19,0.0,IBM,2010-02
1510,2010-02-21,127.35,128.06,126.87,127.19,0.0,IBM,2010-02
1511,2010-02-22,127.3,127.43,126.31,126.85,3808077.0,IBM,2010-02
1512,2010-02-23,126.48,127.66,126.0,126.46,4594376.0,IBM,2010-02
1513,2010-02-24,127.02,128.27,126.81,127.59,4782100.0,IBM,2010-02
1514,2010-02-25,126.05,127.24,125.57,127.07,5658776.0,IBM,2010-02
1515,2010-02-26,127.01,128.0,126.74,127.16,4784139.0,IBM,2010-02
1516,2010-02-27,127.01,128.0,126.74,127.16,0.0,IBM,2010-02
1517,2010-02-28,127.01,128.0,126.74,127.16,0.0,IBM,2010-02
1518,2010-03-01,127.5,128.83,127.47,128.57,4577715.0,IBM,2010-03
1519,2010-03-02,128.7,129.09,127.13,127.42,6013437.0,IBM,2010-03
1520,2010-03-03,127.73,128.02,126.68,126.88,6389967.0,IBM,2010-03
1521,2010-03-04,127.07,127.07,125.47,126.72,6032328.0,IBM,2010-03
1522,2010-03-05,127.17,127.55,127.04,127.25,6140472.0,IBM,2010-03
1523,2010-03-06,127.17,127.55,127.04,127.25,0.0,IBM,2010-03
1524,2010-03-07,127.17,127.55,127.04,127.25,0.0,IBM,2010-03
1525,2010-03-08,127.06,127.5,126.36,126.41,6199570.0,IBM,2010-03
1526,2010-03-09,126.27,126.29,125.2,125.55,7529306.0,IBM,2010-03
1527,2010-03-10,125.98,126.36,125.21,125.62,6917512.0,IBM,2010-03
1528,2010-03-11,125.71,127.81,125.71,127.6,7929401.0,IBM,2010-03
1529,2010-03-12,127.91,128.37,127.51,127.94,5170094.0,IBM,2010-03
1530,2010-03-13,127.91,128.37,127.51,127.94,0.0,IBM,2010-03
1531,2010-03-14,127.91,128.37,127.51,127.94,0.0,IBM,2010-03
1532,2010-03-15,127.4,128.34,127.28,127.83,4544089.0,IBM,2010-03
1533,2010-03-16,128.0,128.88,127.45,128.67,6135031.0,IBM,2010-03
1534,2010-03-17,128.9,128.93,127.36,127.76,6348995.0,IBM,2010-03
1535,2010-03-18,127.46,128.75,127.45,128.38,4954633.0,IBM,2010-03
1536,2010-03-19,128.84,128.93,126.78,127.71,10744286.0,IBM,2010-03
1537,2010-03-20,128.84,128.93,126.78,127.71,0.0,IBM,2010-03
1538,2010-03-21,128.84,128.93,126.78,127.71,0.0,IBM,2010-03
1539,2010-03-22,127.11,128.39,126.57,127.98,5651866.0,IBM,2010-03
1540,2010-03-23,127.94,129.43,127.64,129.37,5979298.0,IBM,2010-03
1541,2010-03-24,128.63,129.95,128.47,128.53,6669246.0,IBM,2010-03
1542,2010-03-25,129.36,130.73,129.13,129.24,7605394.0,IBM,2010-03
1543,2010-03-26,128.93,129.78,128.72,129.26,5550705.0,IBM,2010-03
1544,2010-03-27,128.93,129.78,128.72,129.26,0.0,IBM,2010-03
1545,2010-03-28,128.93,129.78,128.72,129.26,0.0,IBM,2010-03
1546,2010-03-29,129.3,129.95,128.26,128.59,4643265.0,IBM,2010-03
1547,2010-03-30,128.9,129.13,128.25,128.77,3426538.0,IBM,2010-03
1548,2010-03-31,128.23,128.75,127.65,128.25,4904711.0,IBM,2010-03
1549,2010-04-01,128.95,129.31,127.55,128.25,4980625.0,IBM,2010-04
1550,2010-04-02,128.95,129.31,127.55,128.25,0.0,IBM,2010-04
1551,2010-04-03,128.95,129.31,127.55,128.25,0.0,IBM,2010-04
1552,2010-04-04,128.95,129.31,127.55,128.25,0.0,IBM,2010-04
1553,2010-04-05,128.38,129.8,128.14,129.35,4118884.0,IBM,2010-04
1554,2010-04-06,128.68,129.3,128.05,128.93,3926409.0,IBM,2010-04
1555,2010-04-07,128.53,129.27,128.01,128.48,5157358.0,IBM,2010-04
1556,2010-04-08,128.04,128.23,127.2,127.61,6006833.0,IBM,2010-04
1557,2010-04-09,127.88,128.87,127.12,128.76,5186516.0,IBM,2010-04
1558,2010-04-10,127.88,128.87,127.12,128.76,0.0,IBM,2010-04
1559,2010-04-11,127.88,128.87,127.12,128.76,0.0,IBM,2010-04
1560,2010-04-12,128.57,128.96,128.24,128.36,3994168.0,IBM,2010-04
1561,2010-04-13,128.26,129.44,127.84,129.03,6821802.0,IBM,2010-04
1562,2010-04-14,129.73,131.42,129.46,131.25,8545857.0,IBM,2010-04
1563,2010-04-15,130.53,131.14,130.19,130.89,6425399.0,IBM,2010-04
1564,2010-04-16,130.68,132.17,130.25,130.63,9549798.0,IBM,2010-04
1565,2010-04-17,130.68,132.17,130.25,130.63,0.0,IBM,2010-04
1566,2010-04-18,130.68,132.17,130.25,130.63,0.0,IBM,2010-04
1567,2010-04-19,130.38,132.28,130.38,132.23,11353679.0,IBM,2010-04
1568,2010-04-20,129.2,130.33,128.26,129.69,15218573.0,IBM,2010-04
1569,2010-04-21,129.87,130.27,128.5,128.99,7560015.0,IBM,2010-04
1570,2010-04-22,128.64,129.36,127.77,129.13,6018690.0,IBM,2010-04
1571,2010-04-23,129.08,130.1,128.71,129.99,6197382.0,IBM,2010-04
1572,2010-04-24,129.08,130.1,128.71,129.99,0.0,IBM,2010-04
1573,2010-04-25,129.08,130.1,128.71,129.99,0.0,IBM,2010-04
1574,2010-04-26,129.76,131.04,129.54,130.73,5285484.0,IBM,2010-04
1575,2010-04-27,129.9,132.0,128.71,128.82,10917510.0,IBM,2010-04
1576,2010-04-28,129.4,130.47,129.03,130.1,7123602.0,IBM,2010-04
1577,2010-04-29,130.55,131.21,130.15,130.46,5786888.0,IBM,2010-04
1578,2010-04-30,130.43,130.64,128.84,129.0,6266689.0,IBM,2010-04
1579,2010-05-01,130.43,130.64,128.84,129.0,0.0,IBM,2010-05
1580,2010-05-02,130.43,130.64,128.84,129.0,0.0,IBM,2010-05
1581,2010-05-03,129.39,130.14,128.8,129.6,4992019.0,IBM,2010-05
1582,2010-05-04,128.89,128.93,126.58,128.12,8285289.0,IBM,2010-05
1583,2010-05-05,127.12,128.23,126.87,127.46,6072834.0,IBM,2010-05
1584,2010-05-06,126.29,127.93,116.0,123.92,13169697.0,IBM,2010-05
1585,2010-05-07,123.36,124.39,120.0,122.1,10585340.0,IBM,2010-05
1586,2010-05-08,123.36,124.39,120.0,122.1,0.0,IBM,2010-05
1587,2010-05-09,123.36,124.39,120.0,122.1,0.0,IBM,2010-05
1588,2010-05-10,126.27,126.67,125.06,126.27,8464250.0,IBM,2010-05
1589,2010-05-11,125.21,128.42,125.15,126.89,6499773.0,IBM,2010-05
1590,2010-05-12,127.16,132.85,127.01,132.68,16629704.0,IBM,2010-05
1591,2010-05-13,130.93,133.1,130.85,131.48,10498358.0,IBM,2010-05
1592,2010-05-14,131.06,131.67,129.41,131.19,9920567.0,IBM,2010-05
1593,2010-05-15,131.06,131.67,129.41,131.19,0.0,IBM,2010-05
1594,2010-05-16,131.06,131.67,129.41,131.19,0.0,IBM,2010-05
1595,2010-05-17,130.68,131.76,128.7,130.44,8924745.0,IBM,2010-05
1596,2010-05-18,131.26,131.99,129.9,129.95,9332110.0,IBM,2010-05
1597,2010-05-19,129.37,130.5,127.82,128.86,8669840.0,IBM,2010-05
1598,2010-05-20,127.22,127.96,123.68,123.8,13178148.0,IBM,2010-05
1599,2010-05-21,122.16,125.61,121.4,125.42,12639577.0,IBM,2010-05
1600,2010-05-22,122.16,125.61,121.4,125.42,0.0,IBM,2010-05
1601,2010-05-23,122.16,125.61,121.4,125.42,0.0,IBM,2010-05
1602,2010-05-24,125.26,126.02,124.04,124.45,6876074.0,IBM,2010-05
1603,2010-05-25,121.47,124.95,121.47,124.52,9498873.0,IBM,2010-05
1604,2010-05-26,124.89,125.94,123.0,123.23,9085936.0,IBM,2010-05
1605,2010-05-27,125.05,126.39,124.77,126.39,7726560.0,IBM,2010-05
1606,2010-05-28,125.96,126.28,124.29,125.26,7422373.0,IBM,2010-05
1607,2010-05-29,125.96,126.28,124.29,125.26,0.0,IBM,2010-05
1608,2010-05-30,125.96,126.28,124.29,125.26,0.0,IBM,2010-05
1609,2010-05-31,125.96,126.28,124.29,125.26,0.0,IBM,2010-05
1610,2010-06-01,124.69,126.88,124.2,124.34,7136082.0,IBM,2010-06
1611,2010-06-02,124.85,127.5,124.35,127.41,7705556.0,IBM,2010-06
1612,2010-06-03,127.75,128.22,126.46,127.96,6645219.0,IBM,2010-06
1613,2010-06-04,126.37,127.1,124.67,125.28,9669111.0,IBM,2010-06
1614,2010-06-05,126.37,127.1,124.67,125.28,0.0,IBM,2010-06
1615,2010-06-06,126.37,127.1,124.67,125.28,0.0,IBM,2010-06
1616,2010-06-07,125.57,125.86,124.13,124.13,6951325.0,IBM,2010-06
1617,2010-06-08,124.26,124.46,122.82,123.72,8399126.0,IBM,2010-06
1618,2010-06-09,124.83,125.84,123.58,123.9,7800309.0,IBM,2010-06
1619,2010-06-10,125.99,128.22,125.8,127.68,7479610.0,IBM,2010-06
1620,2010-06-11,126.73,128.8,126.44,128.45,5827093.0,IBM,2010-06
1621,2010-06-12,126.73,128.8,126.44,128.45,0.0,IBM,2010-06
1622,2010-06-13,126.73,128.8,126.44,128.45,0.0,IBM,2010-06
1623,2010-06-14,128.5,129.97,128.49,128.5,6753113.0,IBM,2010-06
1624,2010-06-15,128.93,129.95,128.37,129.79,6652612.0,IBM,2010-06
1625,2010-06-16,128.34,130.68,128.34,130.35,6400971.0,IBM,2010-06
1626,2010-06-17,130.07,131.03,129.86,130.98,5575129.0,IBM,2010-06
1627,2010-06-18,131.02,131.25,130.13,130.15,9581587.0,IBM,2010-06
1628,2010-06-19,131.02,131.25,130.13,130.15,0.0,IBM,2010-06
1629,2010-06-20,131.02,131.25,130.13,130.15,0.0,IBM,2010-06
1630,2010-06-21,131.42,131.94,130.22,130.65,6857800.0,IBM,2010-06
1631,2010-06-22,130.37,131.47,129.07,129.3,6030623.0,IBM,2010-06
